uri,cid,author_handle,author_name,text,author_data,post_data,embed_data,reply_count,repost_count,like_count,quote_count,bookmark_count,indexed_at,created_at,in_reply_to,in_reply_root,quotes,tags,mentions,links,langs,labels
at://did:plc:pxtzur3xjhh45lxa2p6s5qxd/app.bsky.feed.post/3mv22ue3r6c2y,bafyreidablaazzunccptj2odbfqxdwjhbx2feesnwvknydfxe7di62oa7q,rsteinkfut.bsky.social,Robyn,Justice to them #abpoli #cdnpoli,,,,0,0,2,0,0,2026-09-08T22:25:05Z,2026-09-08T22:25:01Z,NA,NA,at://did:plc:jbvnehrrdqoulco4rf5gxg5r/app.bsky.feed.post/3muzzqqzzsn2e,,,,,
at://did:plc:e4qglzjpa4pcasim3rpqsicy/app.bsky.feed.post/3mv22tstwxs2a,bafyreig3zv3atrl3rlbkliczravcu55wz2xgj72d4olt3hiid7hoshwmnq,thesaanichdaily.bsky.social,Club Saanich,"Reading so many of the replies from rad libs and centrists praising one of the worst humans in Canadian history is deeply depressing. "" But he did some good things"" Sure, Musolini unified Italy too, oof.

#cdnpoli",,,,0,1,5,0,0,2026-09-08T22:24:43Z,2026-09-08T22:24:43Z,NA,NA,at://did:plc:4yb2pjejfziah3eork7stm6j/app.bsky.feed.post/3muzikg7yw222,,,,,
at://did:plc:gv3qn6f23vvn4v4fxu7flbbb/app.bsky.feed.post/3mv22sav6ss2t,bafyreigrelyk2b6f2ji5baunkb5o6obsqkrlco4ftq26yisyznwfaze3le,jackhill.bsky.social,Jack Hill,"‘South Park’ creators rename their show ‘South America’ as a troll

In response to Trump’s Lake America, Gulf of America and future New Mexico - New America - comedy show fights back

#ontpoli #cdnpoli #comedy",,,,0,0,2,0,0,2026-09-08T22:23:51Z,2026-09-08T22:23:50Z,NA,NA,NA,,,,,
at://did:plc:oqrlb6ouek7aa3bthvddehv3/app.bsky.feed.post/3mv22pn7r3c2c,bafyreifec5d72qbuytkd2y6cbauo3fa2c37vgd7pifpoz5rikwiiy6sudm,caff3.bsky.social,,"Kids are bigger now, but 2016, we had to explain why the USA had kids in cages.

It's much worse now. The rot at the core of their beliefs and values has grown.

There are so many that want my Canada to disappear.
This will not happen. 🍁  Generations will fight.
#StrongandFree  #cdnpoli",,,,0,0,1,0,0,2026-09-08T22:22:23Z,2026-09-08T22:22:23Z,NA,NA,NA,,,,,
at://did:plc:iyyzcuc24pgchmsbjnsa3wu3/app.bsky.feed.post/3mv22nvb6as2f,bafyreift72icxnsjudcpepy3r2235s4d5xxdxt3gwltlcalzlo6hvoauyu,torontokate.bsky.social,🎶 I Will Choose Freewill 🇨🇦,"Canadian terrorist sympathizers are the very worst

Does anyone claim this person?

But ""we"" allowed it. We allowed 3 years of protesting in our streets and our youngers (the ones who will be queer and democratic socialists) to parade around with their unhinged scripts without challenge.

#cdnpoli",,,,0,0,0,0,0,2026-09-08T22:21:28Z,2026-09-08T22:21:24Z,NA,NA,NA,,,,,
at://did:plc:2o32nk7gspblkwu7poi64ypd/app.bsky.feed.post/3mv22n2azt32f,bafyreiaj62nwvqd2is3kjf4ven4g3hrcxsh6x5gpgmesfpjbwofdhagpie,frontiercentre.bsky.social,Frontier Centre for Public Policy,"Senior Fellow Pierre Gilbert argues that PM Carney’s government fails Canadians through deficit spending, heavy taxation, weak resource development, unsustainable immigration and speech controls.
https://youtu.be/au64N46zC28 #cdnpoli #immigration #freespeech",,,,0,0,0,0,0,2026-09-08T22:20:56Z,2026-09-08T22:20:55Z,NA,NA,NA,,,,,
at://did:plc:mxc7liuon6iq5gzapmmwkq22/app.bsky.feed.post/3mv22jhc4d224,bafyreigtboo4h4qsdiirpof6soqh4ueqgu6vrqcsxyo52q65f7e4yf74uy,youranoncentral.bsky.social,Anonymous,"Carney on US trade war: ""we've been steering our economy towards trusted partners. We've signed 20 trade and defence agreements across four different continents. And these are more than deals, they're agreements.

Deals privilege the few, agreements benefit the many."" #cdnpoli",,,,9,68,259,6,2,2026-09-08T22:18:57Z,2026-09-08T22:18:55Z,NA,NA,NA,,,,,
at://did:plc:g323nwoy6rzvxylyjmn243qu/app.bsky.feed.post/3mv22imvzlc2i,bafyreiddubyd5mzsjqyyie6oqwurkr3wx2paebz6xjpjnbozgqqqn2c55u,electricbluesfan.bsky.social,RichardJR,"1/6 🇨🇦 ALBERTA SEPARATION 'A FICTION'? 🇨🇦

With the referendum under 45 days away, top executives are breaking their silence. 

The verdict? Leaving Canada guarantees massive uncertainty.

Source: CBC News
#EnergySky #CdnPoli #AbLeg #Wexit #Economy",,,,1,3,3,0,0,2026-09-08T22:18:28Z,2026-09-08T22:18:27Z,NA,NA,NA,,,,,
at://did:plc:k6a35s56ijvrb4zjkq4ojll5/app.bsky.feed.post/3mv22cz56gf2d,bafyreih5d7jx76o2wblggjqcgmikyx64s3vourloapg6tnifzfmax42bee,toptags.bsky.social,Trending Hashtags,"🚀 BlueSky trending hashtags (15m) #16-30:

#septenmber #cdnpoli #lookandsee #gay #sketch #gayporn #digitalart #photography #musicsky #fanart #awesomecharacters #abdl #booksky #oc #writingcommunity

👇 #1-15 trending hashtags",,,,0,0,4,0,0,2026-09-08T22:15:19Z,2026-09-08T22:15:19Z,NA,NA,at://did:plc:z22iojvb45xno3nblfy6fcwg/app.bsky.feed.post/3mv22cytope2n,,,,,
at://did:plc:g323nwoy6rzvxylyjmn243qu/app.bsky.feed.post/3muzzxcfq722i,bafyreighsqudb3fcp6iszi4gn2gpe5ii5criy7dexnpb5oasvygku7rbjm,electricbluesfan.bsky.social,RichardJR,"1/5 🇨🇦 🇺🇸 B.C. UNVEILS DEFIANT NEW U.S. BORDER SIGNS 🇺🇸 🇨🇦

Premier David Eby has sent a blunt warning to Donald Trump as cross-border tensions escalate.

Canada will never bow to threats.

Source: CBC News
#WorldPolitics #CdnPoli #BcPoli #Tariffs #Trade",,,,1,2,8,0,0,2026-09-08T22:08:46Z,2026-09-08T22:08:46Z,NA,NA,NA,,,,,
