uri,cid,author_handle,author_name,text,author_data,post_data,embed_data,reply_count,repost_count,like_count,quote_count,indexed_at,in_reply_to,in_reply_root,quotes,tags,mentions,links,langs,labels
at://did:plc:4hzvn5p3sel2k5eayadtblr4/app.bsky.feed.post/3lrgpxrppc22n,bafyreiho4nhb2xv4wlcxynbone3s7cllfnbp5i3q26pqvgtqprulkrsu4q,thepikasue.bsky.social,The PikaSue 🇨🇦,#cdnpoli #NeverTrustATory #Alberta,,,,0,0,1,0,2025-06-12T20:07:43Z,NA,NA,at://did:plc:v4p3dexcjw2t73i3kd4fe2ve/app.bsky.feed.post/3lre4df6x422z,,,,,
at://did:plc:mk5nt4ojvj3623suovxh6rz2/app.bsky.feed.post/3lrgpuw4sa22d,bafyreihs35e37mfsd2ok3kcjfiz5dgtpaswgrlpx4hy5k4xkn27dfvlvqe,canadianinalberta.bsky.social,Canadian In Alberta,"Everyday when I read the news I'm so f*cking thankful that Poilievre lost
#cdnpoli",,,,14,20,181,1,2025-06-12T20:06:07Z,NA,NA,NA,,,,,
at://did:plc:6kvdaqlmwqa2jguajjdblmnv/app.bsky.feed.post/3lrgpurpmnk2t,bafyreictq6hszfklexlgwde5cxgyz4iqx3vz3uxcvlzk6asc7d4eohwqti,blc1234.bsky.social,BLC_71+,"We didn't want a populist government in power! 

#NeverPoilievre 
#NeverCPC

#CanadaStrong
#cdnpoli",,,,0,1,3,0,2025-06-12T20:06:04Z,NA,NA,at://did:plc:ni2a5fwqskdramh5zakufxw6/app.bsky.feed.post/3lrepqtpf5c22,,,,,
at://did:plc:y6xwjztcdztaps4y27k3midc/app.bsky.feed.post/3lrgprvem422m,bafyreifupwnmnsow6wje6oefxpdyvsgqzlb7c4e3ipag6sgdgqu4w44mzq,psyphigrad.bsky.social,PsyPhiGrad,"They hardly got a mandate at all.  Less than 50% of voters ""endorsed"" them. It's only a quirk on our antiquated broken undemocratic electoral distortion system that they were given far more power than they deserve.

#CdnPoli #PRNow",,,,0,0,1,0,2025-06-12T20:04:26Z,at://did:plc:ch6nzojfw5zs7srpd42hvh3c/app.bsky.feed.post/3lrgpepo6st2m,at://did:plc:ch6nzojfw5zs7srpd42hvh3c/app.bsky.feed.post/3lrgpepo6st2m,NA,,,,,
at://did:plc:4euncr44a5aflpbcbjhvjvdo/app.bsky.feed.post/3lrgpiqqnmk2y,bafyreielzvdfgjjbbc63oxmjrxh2vhheovjfpgpooc5quox5b6pqohmhgy,sarobertson.bsky.social,Scott Robertson,"Chief Justice Wagner: ""We're not a superpower in economics, in military, but in the rule of law, in the legal domain, I think that Canada is a superpower and has a lot to offer on the world scene.""

#cdnpoli",,,,0,0,3,0,2025-06-12T19:59:19Z,NA,NA,NA,,,,,
at://did:plc:xzgwn3nornr6v6cdd2fqsdru/app.bsky.feed.post/3lrgpim6gvs2k,bafyreihn2kdbbhx5upljwvyepwifwuexkicqvlntxe4gap65v552enr5hq,mikemontreal.bsky.social,Montreal Mike🇨🇦,"A 40-year old Indian man named Vishwashkumar Ramesh is the luckiest man on Earth right now. 

He was in a plane that crashed and was thrown out and walked to the ambulance. 

In total darkness one bright point of light. 🙏

#cdnpoli #airindia",,,,3,6,21,0,2025-06-12T19:59:14Z,NA,NA,NA,,,,,
at://did:plc:7lk2ea67pioh2e7tqj5n7whh/app.bsky.feed.post/3lrgphk2fls2s,bafyreidem7rtnybcxhcrxws6jbiiybef2us2e2c5uekcp3pbzlxw3vr33q,samspade1941.bsky.social,Samuel Spade,"#uspol #cdnpoli #ukpol #auspol

""A “thin blue line” isn’t what stands between order & chaos. It’s a blue & yellow one""

""The line between American chaos and American greatness runs through Ukraine""

A new long read:

www.greatpower.us/p/thin-blue-...",,,,0,1,3,0,2025-06-12T19:58:39Z,NA,NA,NA,,,,,
at://did:plc:ehhyp5ncyresa27bxg3el3u3/app.bsky.feed.post/3lrgph5kvg22w,bafyreiaaef7ogsv5l4ubqmyvduchoc3l4koq4tokk7sg2e5p6khox6ms6y,cityscribe.bsky.social,CityScribe,It makes me crazy that the non-stop spectacle that is the end of democracy on our southern border is distracting us from the slightly earlier stage anti-democratic moves in our own country. #CdnPoli,,,,1,3,7,0,2025-06-12T19:58:25Z,NA,NA,at://did:plc:w5pxbmkjntxfw6mt4emennhv/app.bsky.feed.post/3lrgoek7xh22j,,,,,
at://did:plc:eaeuyrvdlqvjgznelgcdimct/app.bsky.feed.post/3lrgpfenwvs2i,bafyreife7tm4phb64u4cbwhhjodarpzno4zliej2fhmnx6hzcgjqcoofk4,madhat59kenwood.bsky.social,Ken Wood part owner of 🇨🇦,Easy assumption. The polling shows she's miles ahead. every elex people say she's got issues and voters will reject UCP. Doesn't happen. Love to see it but the UCP support is massive at this point. Its why she goes hard at the Libs. Its her base loving it. #abpoli #cdnpoli,,,,1,0,1,0,2025-06-12T19:57:25Z,NA,NA,at://did:plc:ssftkaob4q2ly5b7euspy6kz/app.bsky.feed.post/3lrgmdfftv22l,,,,,
at://did:plc:fszweexdvfdj6wuc6zbvwkf7/app.bsky.feed.post/3lrgpecowq22c,bafyreignxfgwhdfnlerghswn7kfhudznyaaxj7wuawuzzbv2tu5ujly7fm,its.small.patatas.ca,patatas,"Not only did Evan Solomon (Canada's minister of #AI) leave his journalism career in disgrace bc he used his position to be an extractivist middleman art broker, but the recently announced parliamentary secretary for that portfolio, Taleeb Noormohamed, flipped houses for years in Vancouver

#CdnPoli",,,,0,0,1,0,2025-06-12T19:56:52Z,NA,NA,NA,,,,,
